Clasificacion,Nombre Local,Distribuición,Pagina Web
Congelados,Ártico Congelados,"Buin, Calera de Tango, Conchalí, El Bosque, Estación Central, Independencia, La Cisterna, La Reina, Las Condes, Lampa, Ñuñoa, Providencia, Quilicura, Recoleta, Renca, San Joaquín, San Miguel, Santiago y Vitacura.",https://www.articocongelados.cl/
Congelados,ECook,"La Reina, Lo Barnechea, Ñuñoa, Peñalolén y Vitacura",https://ecook.cl/
Congelados,El Pinal,"La Reina, Las Condes, Macul, Ñuñoa, Peñalolén, Providencia y Vitacura",http://www.elpinal.cl/
Congelados,En Buena Mesa,A toda la Región Metropolitana,https://www.enbuenamesa.cl/
Congelados,Ensucasa.cl,"Colina, Huechuraba, Isla de Maipo, Las Condes, Lo Barnechea, Peñaflor, Peñalolén, Providencia, Talagante, Santiago y Vitacura",https://www.ensucasa.cl/
Congelados,Mercado di Patrizio,"Las Condes, Lo Barnechea y Vitacura",https://www.instagram.com/m.dipatrizio/
Congelados,Pastas Parsiso,"Las Condes, Lo Barnechea, Providencia y Vitacura",https://www.parsiso.cl/
Congelados,Salvia Congelados,"La Reina, Las Condes, Lo Barnechea, Providencia y Vitacura",https://www.salvia.cl/
Abarrotes y otros,Amahome,"Colina, Huechuraba, La Reina, Las Condes, Lo Barnechea, Ñuñoa, Providencia y Vitacura",https://www.amahome.cl/index.php?route=product/special
Abarrotes y otros,Bidfood,A toda la Región Metropolitana,https://www.quinchobbq.com/
Abarrotes y otros,Bulmor,Sólo a Maipú,https://www.bulmor.cl/
Abarrotes y otros,Carbones Quincho,A toda la Región Metropolitana,https://www.quinchobbq.com/
Abarrotes y otros,Deliboo,"La Reina, Las Condes, Providencia y Vitacura",https://new.deliboo.cl/
Abarrotes y otros,Distribuidora las Flores,"Estación Central, La Cisterna, La Florida, Macul, Maipú, Ñuñoa, Padre Hurtado, Pudahuel, San Miguel y Santiago",https://www.facebook.com/comercial.distriflores
Abarrotes y otros,LaCaserita,A toda la Región Metropolitana,https://www.caserita.cl/
Abarrotes y otros,ManarolaChile,"Las Condes, Lo Barnechea, Providencia y Vitacura",https://www.instagram.com/manarolachile/
Abarrotes y otros,Mercado Patache,"Las Condes, Lo Barnechea, Providencia y Vitacura",https://mercadopatache.cl/
Abarrotes y otros,Puente Pacific,A toda la Región Metropolitana,http://puentepacific.com/
Abarrotes y otros,ServicesShop,A toda la Región Metropolitana,https://serviceshop.cl/
Aseo y limpieza,Blades,A toda la Región Metropolitana,https://www.blades.cl/
Aseo y limpieza,CleanQueen,"Huechuraba, La Reina, Las Condes, Lo Barnechea, Ñuñoa, Peñalolén, Providencia, Santiago y Vitacura",https://cleanqueen.cl/
Aseo y limpieza,Detergente FranAme,La Reina y Peñalolén,https://www.instagram.com/detergentefraname2019/
Aseo y limpieza,Detergentes Glim,A toda la Región Metropolitana,http://detergentesglim.cl/
Aseo y limpieza,Grupo Sial,A toda la Región Metropolitana,https://www.facebook.com/sialclear/
Aseo y limpieza,Freemet,A toda la Región Metropolitana,https://www.freemet.cl/
Aseo y limpieza,rECOnnect,"Colina, Las Condes, Lo Barnechea, Providencia y Vitacura",https://reconnect.cl/
Aseo y limpieza,Supercosto,A toda la Región Metropolitana,https://www.supercosto.cl/productos?categoria=23-detergentes
Aseo y limpieza,Triplee,A toda la Región Metropolitana,https://www.supercosto.cl/productos?categoria=23-detergentes
Alimento para mascotas,Bodega El Cruce,A toda la Región Metropolitana,https://bodegaelcruce.cl/
Alimento para mascotas,Comecan,A toda la Región Metropolitana,https://comecan.cl/
Alimento para mascotas,Distribuidora Lira,A toda la Región Metropolitana,https://www.distribuidoralira.cl/
Alimento para mascotas,Dogplus,A toda la Región Metropolitana,https://dogplus.cl/
Alimento para mascotas,Masconia,"La Reina, Las Condes, Lo Barnechea, Providencia y Vitacura",https://www.masconia.cl/
Alimento para mascotas,Mascotería Maipú,"Cerrillos, Maipú y Padre Hurtado",https://www.mascoteriamaipu.cl/
Alimento para mascotas,Sweet Paws,"Las Condes, Lo Barnechea, Providencia y Vitacura",https://www.sweetpaws.cl/
Alimento para mascotas,Tienda Pet,A toda la Región Metropolitana,https://www.tiendapet.cl/
